,text
2028,"Good comeback, Rog.  Your quick wit and intelligence continues toamaze everyone."
2029,"For some reason I never saw the original post on this thread, but if you arelooking for fast polygon routines on vga on a PC, you really can't go pastthe mode X stuff from Dr Dobbs. This code is all p.domain (as far as I know),and in the original articles, the routines were all presented as dumb vgaroutines, and then optimised to modeX with some interesting discussion alongthe way.If you are interested, I could find out more details of the issues in question,(I have them at home)."
2030,A 68070 is just a 68010 with a built in MMU.  I don't even think that Moto.manufactures them.                                  - Ian Romanick                                    Dancing Fool of Epsilon
2031,				  ^^^		           what the hell is 'ios'? Fix your own typos before you blame others....
2032,"But ultimately their hockey philosophies are like night and day...Keenan believes in pressuring the opposition and taking theinitiative (within the limits of his system)...while Rogerhas a reactive hockey philosophy...which is why Messier willbe able to and has played for Keenan, but thought Roger's waywas a sure loser.Roger is a great assistant coach...but considering what must be badblood between Nielson and Messier, it would be a mistake to bringhim back even in that role."
2033,"I need information on the Display PostScript strokeadjust feature.This feature adjusts the endpoints of lines so that the displayed linelooks better on low resolution devices.The PostScript literature explains the process to some extent.  Theyalso give an example of how to ""emulate"" strokeadjust in PostScriptenvironments where it is absent.The suggested emulation is to modify the coordinates of the endpointsof a line using the following formula for each coordinate:	new_coord = (round (old_coord - 0.25)) + 0.25	Doing this we end up with all coordinates ending in "".25"".  Fromreading I thought that what they might actually do is:	new_coord = ((trunc (old_coord * 2)) / 2) + 0.25	This results in all the coordinates ending in either ""0.25"" or ""0.75"" whichever is closer.By doing some actual comparisons with Display PostScript, I find thatneither of these is what DPS really uses.  Since I like how the DPSresult looks better than how my stuff looks, I'd like to know ifanyone who knows how DPS does it is willing/able to tell me.Thanks,"
2034,"I too would like a 3D graphics library!  How much do C libraries costanyway?  Can you get the tools used by, say, RenderMan, and can you getthem at a reasonable cost?Sorry that I don't have any answers, just questions..."
2035,"	It depends on what kind of the polygons. 	Convex - simple, concave - trouble, concave with loop(s)	inside - big trouble.	Of cause, you can use the box test to avoid checking	each edges. According to my experience, there is not	a simple way to go. The headache stuff is to deal with	the special cases, for example, the overlapped lines."
2036,"The Apollo fire was harsh, A Saturn V explosion would have beenhurtful but The Soviets winning would have been crushing. That could havebeen *the* technological turning point for the US turning usfrom Today's ""We can do anything, we're *the* Super Power"" to a much morereserved attitude like the Soviet Program today.Kennedy was gone by 68\69, the war was still on is the east, I thinkthe program would have stalled badly and the goal of the moonby 70 would have been dead with Nasa trying to figure were they went wrong. I speulate that:+The Saturn program would have been pushed intothe 70s with cost over runs that would just be too evil. Nixon still wins.+The Shuttle was never proposed and Skylab never built.+By 73 the program stalled yet again under the fuel crisis.+A string of small launches mark the mid seventies.+By 76 the goal of a US man on the moon is dead and the US space programdrifts till the present day."
2037,": >over where it places its temp files: it just places them in its: >""current directory"".: I have to beg to differ on this point, as the batch file I use: to launch cview cd's to the dir where cview resides and then: invokes it.  every time I crash cview, the 0-byte temp file: is found in the root dir of the drive cview is on.This is what I posted that cview uses the root directory of the drivecview is on.  However, since It has so much trouble reading large filesfrom floppy, I suspect that it uses the root directory of the drive theimage files are on."
2038,"Hi! Everyone,Since some people quickly solved the problem of determining a sphere from4 points, I suddenly recalled a problem which is how to find the ellipsefrom its offset. For example, given 5 points on the offset, can you findthe original ellipse analytically?I spent two months solving this problem by using analytical method last year,but I failed. Under the pressure, I had to use other method - nonlinearprogramming technique to deal with this problem approximately.Any ideas will be greatly appreciated. Please post here, let the othersshare our interests."
2039,"I just overheard that San Jose Coach George Kingston was officiallyterminated today...  Maybe good news, maybe bad.  I kinda liked him, but heseemed to lack a certain fire."
2040,Sure.  Why keep using oil?  A hydrogen/electric economy would likely becleaner and more efficient in the long run.  The laws of supply and demandshould get the transition underway before we reach a critical stage ofshortage.
2041,"Do you have a basis for this claim?  Try these stats (taken from Playboy MagazineJune 1989):Percentage of pro football fans who have attended college:    39.7Percentage of pro baseball fans who have attended college:    41.5Percentage of pro basketball fans who have attended college:  39.9Percentage of pro hockey fans who have attended college:      54.6Percentage of pro football fans who earn more than $50K:      34.9Percentage of pro baseball fans who make more than $50K:      22.7Percentage of pro basketball fans who make more than $50K:    27.7Percentage of pro hackey fans who make more than $50K:        44.0The biggest advantage that kids from Boondock or Weedville have is theavailability of ice.  In the San Jose area we have a population of 800,000and that population is served by 2 ice arenas.  In contrast, Kamloops,British Columbia has a population of about 50,000 and has 5 rinks!  Thereare also myriad ponds, pools, etc that freeze in the winter.  Down hereit's hard to find a kid without a bicycle; up there it's hard to find a kidwithout a pair of skates.  And before you say ""what does he know? He's fromCalifornia."" let me say that I was born and raised in Trail, British Columbia,a town of about 8,000 with lots of ice in the winter.  My father did radioplay by play for the local team, the Trail Smokeaters, who by  the way, werethe last Canadian team to win the World Championship (back in 1961).  I wason skates almost as soon as I could walk, and have been playing recreationalhockey for about 35 years.Lack of ice is a big factor, but costs is a bigger factor.  Both my kids play forthe Santa Clara Valley Hockey Association and this season, which just ended,cost me $75 per kid for membership in Hockey USA, plus $750 per kid for clubdues.  The Hockey USA fees cover excess medical insurance, and the club duescover ice time, officials, trophies, etc.  Other areas have similar fees, unlessthe city government subsidises some of the costs, as Stockton does.By the way; most ice arenas are located in what could be called the ""inner city""areas.  Eastridge and Vallco are exceptions ... Redwood City's rink is in anindustrial area on Bay Rd, near 101, Berkeley's is near Ashby and Martin LutherKing, Stockton's is in Oak Park, Sacramento's is in an older section of downtown(I forget the name of the street), Fresno's is out on the edge of town, just westof 99.  Santa Rosa's is a nice rink, but it's in an older section of town.Dublin's is outside of town, off 580.  Most of the rinks are old, and expensiveto run, with huge electric bills and insurance premiums.  If you want to buy icetime expect to pay around $100 per hour at any of these rinks.  Some of themgive you a 60 minute hour for your money; others give you a 50 minute hour andinclude the resurfacing time in the fee."
2042,FM-2 has been sold.Following remains:
2044,"Hi netters,	I am currently doing some investigations on ""Developable Surface"".Can anyone familiar with this topic give me some information or sourceswhich can allow me to find some infomation of developable surface?	Thanks for your help!"
2046,"Just a quick note about Manon's immediate future: Rumor has it(USA Today's sports page) that she will be playing with Tampa Bay's affiliate in the ECHL(I Think. It's been a couple of days. :)) She will supposedly be competing for the number 2 goaltender spot.  I think, after her performance, which was damn good for someone who hasn't played squat all year, that we'll be seeing a lot more of her in Atlanta in the years to come.  Ward"
2047,"  I thought that he was comparing Cullen to TEEMU SEL[NNE. I always thought  that salami is some sort of sausage, BUT IF YOU, dear Roger, ARE ABLE TO  SEE SALAMI ON THE ICE PLAYING HOCKEY... I don't know what to do, but you  surely should do something and very quickly!!!  Maybe you think that if you keep on talking some rubbish, after some time  everybody will consider it to be really true... You should take care of  your LEAFS, they surely need it more.    At least we have seen him playing...  During the latest Philly game the Leaf players didn't parade... Philly crunched them 4-0 !!!  Maybe you need some more two way players who can score, too !!???  just cordially,  Hannu"
2049,I think I can. Largely as a result of efforts by people reading this groupwriting letters and making phone calls the following has happened:1. NASA reprogrammed funds to keep NASP alive in 1991.2. Efforts to kill DC-X and the SSRT progam where twice twarted   (Feb. and June of last year).3. Gouldin kept his job in spite of heavy lobbying against him.This may not be what Mark was thinking of but it shows that thereaders of sci.space DO have power and influence.  Allen
2050,"Things could be worse. A lot worse! In the mid-eighties theteen/adult sci-fi comic 2000AD (Fleetway) produced a short storyfeaturing the award winning character ""Judge Dredd"". The storyfocussed on an advertising agency of the future who use high poweredmulti-coloured lasers/search lights pointed at the moon to paintimages on the moon. Needless to say, this use hacked off a load of lovers,romantics and werewolfs/crazies. The ad guys got chopped, the servicediscontinued. A cautionary tale indeed!Marvin Batty."
2051,"The subject line says it all -- I'm trying to locate a copy of SPI'sboard game ""War of the Ring.""  Anyone have a copy with which they arewilling to part?Thanks a million ..."
2055,"McDonnell Douglas rolls out DC-X        HUNTINGTON BEACH, Calif. -- On a picture-perfect SouthernCalifornia day, McDonnell Douglas rolled out its DC-X rocket ship lastSaturday.  The company hopes this single-stage rocket technologydemonstrator will be the first step towards a single-stage-to-orbit (SSTO)rocket ship.        The white conical vehicle was scheduled to go to the White SandsMissile Range in New Mexico this week.  Flight tests will start inmid-June.        Although there wasn't a cloud in the noonday sky, the forecast forSSTO research remains cloudy.  The SDI Organization -- which paid $60million for the DC-X -- can't itself afford to fund full development of afollow-on vehicle.  To get the necessary hundreds of millions required fora sub-orbital DC-XA, SDIO is passing a tin cup among its sister governmentagencies.        SDIO originally funded SSTO research as a way to cut the costs fororbital deployments of space-based sensors and weapns.  However, recentchanges in SDI's political marching orders and budget cuts have made SSTOless of a priority.  Today, the agency is more interested in using DC-X asa step towards a low-cost, reusable sounding rocket.        SDIO has already done 50 briefings to other government agencies,said Col.  Simon ""Pete"" Worden, SDIO's deputy for technology.  But Wordendeclined to say how much the agencies would have to pony up for theprogram. ""I didn't make colonel by telling my contractors how much money Ihave available to spend,"" he quipped at a press conference at McDonnellDouglas Astronautics headquarters.        While SDIO has lowered its sights on the program's orbitalobjective, agency officials hail the DC-X as an example of the ""better,faster, cheaper"" approach to hardware development.  The agency believesthis philosophy can produce breakthroughs that ""leapfrog"" ahead ofevolutionary technology developments.        Worden said the DC-X illustrates how a ""build a little, test alittle"" approach can produce results on time and within budget.  He saidthe program -- which went from concept to hardware in around 18 months --showed how today's engineers could move beyond the ""miracles of ourparents' time.""        ""The key is management,"" Worden said. ""SDIO had a very light handon this project.  We had only one overworked major, Jess Sponable.""        Although the next phase may involve more agencies, Worden saidlean management and a sense of government-industry partnership will becrucial. ""It's essential we do not end up with a large managementstructure where the price goes up exponentially.""        SDIO's approach also won praise from two California members of theHouse Science, Space and Technology Committee. ""This is the directionwe're going to have to go,"" said Rep.  George Brown, the committee'sDemocratic chairman. ""Programs that stretch aout 10 to 15 years aren'tsustainable....NASA hasn't learned it yet.  SDIO has.""        Rep.  Dana Rohrbacher, Brown's Republican colleague, went further.Joking that ""a shrimp is a fish designed by a NASA design team,""Rohrbacher doubted that the program ever would have been completed if itwere left to the civil space agency.        Rohrbacher, whose Orange County district includes McDonnellDouglas, also criticized NASA-Air Force work on conventional, multi-stagedrockets as placing new casings around old missile technology. ""Let's notbuild fancy ammunition with capsules on top.  Let's build a spaceship!""         Although Rohrbacher praised SDIO's sponsorship, he said theprivate sector needs to take the lead in developing SSTO technology.        McDonnell Douglas, which faces very uncertain prospects with itsC-17 transport and Space Station Freedom programs, were more cautiousabout a large private secotro commitment. ""On very large ventures,companies put in seed money,"" said Charles Ordahl, McDonnell Douglas'senior vice president for space systems. ""You need strong governmentinvestments.""        While the government and industry continue to differ on fundingfor the DC-XA, they agree on continuing an incremental approach todevelopment.  Citing corporate history, they liken the process to DouglasAircraft's DC aircraft.  Just as two earlier aircraft paved the way forthe DC-3 transport, a gradual evolution in single-stage rocketry couldeventually lead to an orbital Delta Clipper (DC-1).        Flight tests this summer at White Sands will ""expand the envelope""of performance, with successive tests increasing speed and altitude.  Thefirst tests will reach 600 feet and demonstrate hovering, verticletake-off and landing.  The second series will send the unmanned DC-X up to5,000 feet.  The third and final series will take the craft up to 20,000feet.        Maneuvers will become more complex on third phase.  The finaltests will include a ""pitch-over"" manever that rotates the vehicle backinto a bottom-down configuration for a soft, four-legged landing.        The flight test series will be supervised by Charles ""Pete""Conrad, who performed similar maneuvers on the Apollo 12 moon landing.Now a McDonnell Douglas vice president, Conrad paised the vehiclesaircraft-like approach to operations.  Features include automatedcheck-out and access panels for easy maintainance.        If the program moves to the next stage, engine technology willbecome a key consideration.  This engine would have more thrust than thePratt & Whitney RL10A-5 engines used on the DC-X.  Each motor uses liquidhydrogen and liquid oxygen propellants to generate up to 14,760 pounds ofthrust        Based on the engine used in Centaur upper stages, the A-5 modelhas a thrust champer designed for sea level operation and three-to-onthrottling capability.  It also is designed for repeat firings and rapidturnaround.        Worden said future single-stage rockets could employtri-propellant engine technology developed in the former Soviet Union.The resulting engines could burn a dense hydrocarbon fuel at takeoff andthen switch to liquid hydrogen at higher altitudes."
2056,"I'm looking for any leads to the source of a good WindowsMeta File converter or interpreter. I need this for useoutside the Windows environment. PD sources preferred, butnot a requirement. Please reply to the address below."
2058,Are there significant differences between V2.01 and V2.00 ?Thank you for helpingMarc.
2062,"Upgraded my friend's 486DX/33 and have the chip for sale, 486DX/33 IntelCPU chip, first US$265+shipping will get the chip.  or you can make theoffer if you don't like the price...  Thanks."
2063,I have an Intel Above Board (16 bit) with 2 megs of ram	that I would like to sell ASAP. Please email me offers	if interested!	Thanks
2064,"I think the three-headed GM's guiding principle was to keep veteransin favor of youngsters only if they offered a ""significant"" advantage.At the end of last season, the contracts of several veterans with somewhatmaginal contributions (Fenton, Bozek, Anderson, and a couple others Ican't remember) were bought out. The idea was that youngsters couldplay almost as well, and had the potential to improve where theseolder guys did not. And they traded Mullen, because he wanted to go, not because hewasn't good enough, but I think they were a bit too optimisticin thinking they could make up for his contributions.An example from this season, Skriko was brought in on a trial basisbut not kept, because of his age. I thought he was a decentcontributor worth keeping around.The youth movement has its advantages; look at Gaudreau whomight still be in KC if more veterans had been kept around. Butyou have to find the right balance."
2065,Hello. I am looking for a program (or algorithm) that can be usedto compute sunrise and sunset times.I would appreciate any advice.
2069,"They are 3D object files for CAD 3D 2.0, a program written by Tom Hudsonfor the Atari ST computers.  Don't know much more about them except thatthey are stored with the points first, then the surfaces are next, and aremade by listing 3 point numbers that make up the triangle surface. Thenthere's a header that describes coloring, lighting, etc.  Don't know muchmore than this, hope this helps."
2073,"First I've heard of it. Offhand:Griffin is no longer an ""office"" head, so that's bad.On the other hand:Regress seemed to think: we can't fund anything by Griffin, becausethat would mean (and we have the lies by the old hardliners about the$ 400 billion mars mission to prove it) that we would be buying into amission to Mars that would cost 400 billion. Therefore there will beno Artemis or 20 million dollar lunar orbiter et cetera...They were killing Griffin's main program simply because some sycophantssomewhere had Congress beleivin that to do so would simply be to buy intothe same old stuff. Sorta like not giving aid to Yeltsin because he'sa communist hardliner.At least now the sort of reforms Griffin was trying to bring forwardwon't be trapped in their own little easily contained and defundedghetto. That Griffin is staying in some capacity is very very verygood. And if he brings something up, noone can say ""why don't you goback to the OSE where you belong"" (and where he couldn't even get moneyfor design studies)."
2074,"I've never seen a game where one player has committed 5penalties.  Something like this would require more attention bythe referee.But you're creating a scoring opportunity where there might nothave been one before.  I can see the relationship between freethrows awarded after a certain number of fouls, but it'sobviously easier to score in basketball, there are moreopportunities.  If a basketball team scores 100 points, that'sat least fifty chances made.  The average number of shots takenby each team in a hockey game (and this is a total guess) isprobably around 40, and a team is lucky to capitalize on maybe5 of them.  You have some good ideas concerning the otherpenalties, but I think that a player should be awarded apenalty shot only when they had a chance to score and wasinterfered with.Also, later in the post, you talked about how boring the NBAgame you attended was, that play was stopped too often.Wouldn't your penalty shot rule take up more time during ahockey game?"
2075,"Why didn't you create 8 grey-level images, and display them for1,2,4,8,16,32,64,128... time slices?This requires the same total exposure time, and the same precision intiming, but drastically reduces the image-preparation time, no?"
2076,"It should have been made fairly clear that the *most* Crimson wouldever get was a 150 (75 old style) MHz CPU upgrade.  Certainly thiswas mentioned on comp.sys.sgi on more than one occasion as beinglikely.  If our sales folks were saying otherwise, they were eitherconfused, or less than honest/ethical, or somebody further up thechain inside SGI was misleading them.There were 4 versions (20, 25, 30, 35), although admittedly the 30 cameout at the same time as the 35, over a period of 2 1/2 years.  Thechassis simply couldn't be pushed any further.  I'd say 4 years wasa pretty good lifespan, myself, for a system design in this day andage.  Getting the 35 to work caused a lot of gray hairs in both thehardware and product design groups; we would have been out of ourminds to push it further, and I *know* that was made clear, almostfrom the day the 35 started shipping.  We had one last kicker inthe form of the Elan graphics, which made 3 graphics versions overits lifespan, which I also think is pretty good.Please, by all means send a complaint letter through SGI supportor sales on your concerns.  There should be no reason for sales folksto misrepresent future upgrades to customers (sure, sometimes therewill be confusion for a while, over whether an upgrade will be available,but that shouldn't last too long, and doesn't seem to be what youare referring to).Yes, the sales folks *do* get bonus's at the end of some (all?) quarters,but that is pretty common industry wide, and sometimes that can resultin good deals for customers (sometimes it probably pushes folks intosystems that aren't what they need, I'm sure, but nobody is *forcing*you to buy at end of quarter, after all...)They don't get all that long a lead time either; although certainlythey get presentations on possible new products, and their opinionsmay well influence the end product, but that also is life in theindustry.  We can't design systems that meet just their needs, or wewon't sell too many systems, after all (which is not to say that wedon't have some niche products, like Reality Engine).But surely you don't expect a system you buy now for a five yearperiod to be constantly upgradable over that entire five yearperiod?  That's a rather unreasonable expectation, in my experience(with workstations/microcomputers).  Supported, and parts available,yes, but certainly not upgradable to the latest and greatest!I missed your first posting, but as I say, by all means share yourfrustation with somebody at a level inside SGI where it mighthave an effect (not immediate, I'm sure, but complaints aren'tgoing to be ignored, and *may* affect future plans, if we hear similar things from more than one person/site).All of the above is, as usual, my personal opinion, not SGI's."
2077,"Hi,Can anybody suggest robust algorithms/code for computing the point of intersectionon n, 2-d lines in a plane. The data has outliers and hence a simple least squarestechnique does not seem to provide satifactory results.Please respond by e-mail and I will post the summary to the newsgroupsif there is sufficient interest.Thanks,Raj TalluriMember Technical StaffImage Understanding BranchTexas InstrumentsCentral Research LabsDallas, Texas 75248"
2079,A while back someone had several equations which could be used for changing 3 filtered grey scale images into one true color image.  This is possible becauseit's the same theory used by most color scanners.  I am not looking for the obvious solution which is to buy a color scanner but what I do need is those equations becasue I am starting to write software which will automate the conversion process.  I would really appreciate it if someone would repost the 3 equations/3 unknowns.   Thanks for the help!!!
2080,"SSRT ROLLOUT                Speech Delivered by Col. Simon P. Worden,                     The Deputy for Technology, SDIO                                                      Mcdonnell Douglas - Huntington Beach                              April 3,1993     Most of you, as am I, are ""children of the 1960's.""  We grewup in an age of miracles -- Inter-Continental Ballistic Missiles,nuclear energy, computers, flights to the moon.  But these weremiracles of our parent's doing.  For a decade and more the punditshave told us - ""you've lost it!""  The ""me"" generation is onlyliving on the accomplishments of the past.     You and I have even begun to believe the pessimists.  Welisten in awe as the past generation tells of its triumphs.  Livinghistory they are.  We are privileged to hear those who did it tellof it.  A few weeks ago some of this very team listened in awe asGeneral Bernie Schriever told of his team's work - and yes struggle- to build this nation's Intercontinental Ballistic Missile.     What stories can we tell?  Blurry-eyed telescopes?  Thousanddollar toilet seats?  Even our space launch vehicles hearken onlyof that past great time.  They are and seem destined to remain Gen.Schriever's ICBMs.  I find it hard to swell with pride that thebest new space-lifter idea is to refurbish old Minuteman andPoseidon ballistic missiles.     Well - The pessimists are wrong.  The legacy is continuing. This event is proof.  To our technological parents: We've listenedto your stories.  We've caught your enthusiasm and can-do spirit. And we've learned from your achievements - and your mistakes.  Letme honor one of you who was part of that history and the impetusbehind this history - Max Hunter.  You are one of the greatestengineers of the firts great age of space exploration.  Yourinsight and discipline built the Thor ICBM - later incorporatedinto today's most successful launch vehicle - The Delta.     You told us in the 60's that a new form of launch vehicle - asingle stage reusable rocket - can and should be built.  Youadvocated this idea tirelessly.  It was elegantly simple, as areall great breakthroughs.  You showed us how to build it.  Youconvinced us it could be done.  You are working by our side to weldits components into place.  Most important - you reminded us of aprime engineering principle - undoubtably one you learned from thegeneration before you - the generation that built transcontinentalaviation in the 1920's and 30's - build a little and test a littleand Max, you passed all of this on  to people like Pat Ladner whostarted this program for the SDI.     Douglas Aircraft didn't start with a DC-10.  They didn't evenstart with a DC-3.  Our grandfathers built a little, tested alittle - even sold a little and made a little money - before theymoved on to the next step.  They didn't take a decade or morebefore putting the first ""rubber on the road.""  Max Hunter - youdidn't take ten years to build Thor, and by God we're not going totake ten years to show that low cost, single stage, reusableaerospace transportation is real.     We ended the cold war in a few short years.  It took the  sameteam here today but a few years to show through the StrategicDefense Initiative that the cold war must end.  We - you and us -launched a series of satellites - The Delta experiments - in abouta year apiece.  This, more than anything else signaled ourcommitment to end the impasse between ourselves and the SovietUnion.  Those who made the decisions on both sides have underscoredthe importance of our work in bringing about a new internationalrelationship.     But it is the same team which is now  putting in place theframework for an aerospace expansion that is our legacy for thenext generation.  We will make space access routine and affordable.     We built this magnificent flying machine in two years.  Thissummer a true rocket ship will take off and land on earth for thefirst time.  Then we can and surely will build in the next threeyears a reusable sub-orbital rocket.  It will allow us to use spacerapidly, affordably, and efficiently as no other nation can.  Andyes - we'll make a little money off it too!     Then - and only then - we'll spend another three years tobuild a fully reusable single stage to orbit system.  The DC-3 ofspace will be a reality!  We may even be able to use some of therocket propulsion breakthroughs of our former cold war adversaries. What a wonderful irony if this SDI product and Russian efforts tocounter SDI merge to power mankind's next step to the stars!     To be sure, we must guard against the temptations to leap tothe final answer.  Robert Goddard's first rockets weren't SaturnV's!  If we succumb  to the temptation to ask  for just a few extradollars and a few more years to jump immediately to a full orbitalsystem - we will fail.  Max Hunter and his colleagues showed theway.  Three years and a cloud of dust - in our case rocketexhausts.  There is no short-cut.  If we expect to reshape theworld again - we must do it one brick at a time.  Minds on tasks athand!"
2081,"Nice try Deepak, but ""tough Whaler squad"" should have clued you in to thefact that my Leaf woofing was tongue-in-cheek.If playoff hockey is any more intense than the regular season variety thenit is because the teams are facing each other at least 4 consecutive timesin 7 days and hockey being the contact sport that it is, some things willbe carried over that might dissipate during the regular season.  But that isonly for some of the players.  Many of the rest, who have been playing withinjuries, who miss their families, or who, like Grant Fuhr, would reallyrather be playing golf, don't really give a damn.  Of course I can't say thisfor sure, but I believe that this is fairly typical of human nature and Idon't think that hockey players are above having what I consider typicallyhuman attitudes.  With the recent salary escalations the key players are actually losing money by participating in the playoffs.  The ones who regard the playoff""take"" as some kind of a bonanza are fringe players who are unlikelyto consistently be a force in the playoffs.  Now I know some of you aregoing to come back with ""winning spirit"" and all of that crap but theseplayers are professionals after all.  While they may love to play the game that love is entirely incidental to their purpose, which is, to makea decent living. Of course, the coach is a professional as well, and part of what he is being paid to do is motivate the players.  So, if the coach does hisjob well enough the players may respond with a winning effort.The second season, is after all, merely an exhibition.  The true Championsof the league are the division winners, the teams that come out on top after the long struggle of the season.  The Stanley cup playoffs merelyaccord victory to the team that has remained healthy and ""hot"".  The emphasis on the playoffs, with their ""sudden death"" appeal has been promotedby the media and the owners with profit purely in mind.  Even if Pittsburghloses the playoffs, we all know that they were really the best team in theleague over the year.  They proved it.cordially, as always,rm"
2082,"Brian Yamauchi asks: [Regarding orbital billboards...]      Well, I had been collecting data for next edition of theCommercial Space News/Space Technology Investor... To summarize:  SPACE ADVERTISING    First, advertising on space vehicles is not new -- it is verycommon practice to put the cooperating organization's logos on thespace launch vehicle.  For example, the latest GPS launcher had the(very prominent) logos on its side of   - McDonnell Douglas (the Delta launcher)   - Rockwell International (who built the GPS satellite)   - USAF (who paid for the satellite and launch), and   - the GPS/Navstar program office   This has not been considered ""paid advertising"" but rather""public relations"", since the restrictions have been such that onlyorganizations involved in the launch could put their logos on theside, and there was no money exchanged for this.  [However, puttinga 10' high logo on the side of the launch vehicle facing the camerasis ""advertising"" as much as it is ""public relations"", in myopinion.]  [And by the way, I note that the DC-X test vehicle hasrather prominent McDonnell-Douglas and SDIO logos on the side...]   There have been several studies looking at the revenue potentialsfor use of space vehicles for advertising, or placing largeadvertising signs in orbit.  On the shuttle, for example, I know ofseveral serious studies in the early and mid 1980's which looked atputting logos on the external tank, or on the sides of the payloadbay.  These ventures would be different than ""public relations"", inthat the logos or displays would not be restricted to the firmsparticipating on that flight, and would involve payment of sums forthe right to fly the logos in a prominent organization.  (Forexample, painting the ET to look like a Pepsi can, or putting aDisneyworld logo on the inside of the payload bay where the cameraswould scan past it.)  ADVERTS ON LAUNCH VEHICLES   The first paid advertising was done on a Soviet launcher in about1990, when several non-involved foreign organizations were allowedto pay to put their logos on a Proton launch.  (An Italian shoecompany was one of the first advertisers, I remember.)  Similarly,Soviet cosmonauts on Mir made a paid advertisement for the lastOlympic games, and have gleefully shown banners and other items fromparticipating firms and organizations.  Mars candy bars, forexample, got a plug from orbit as a sponsor of the launch of theBritish visiting cosmonaut to Mir.   Now US firms are starting to put paid advertisements on launchvehicles.  The upcoming Conestoga launch (in June) putting the COMETrecoverable payload capsule into orbit will have paid advertisementson the side, for Arnold Schwarzenegger's upcoming movie ""The LastAction Hero"".  Besides the usual logos of the participatingorganizations, Columbia pictures has paid $500,000 to put ads on themain fuselage of the mission's Conestoga rocket, its boosterrockets, and on the COMET payload, which will orbit the Earth forone month.  A concept for this advertising display was published inSpace News magazine a couple of months ago.   (As a side note: Robert Lorsch, an advertising executive, istalking about suing NASA.  He charges NASA with appropriating an idea hecreated with the space agency in 1981 to form corporate advertisingsponsorships on NASA spacecraft as a way to get funding for thespace program.  Lorsch contends that in selling advertising space onthe upcoming COMET, NASA violated an agreement that it ""would not usehis idea without him being the exclusive representative for NASA andreceiving compensation.""   This is being disputed, since the launchis a ""commercial launch"" and NASA is receiving none of theadvertising revenues, but the funding for the COMET program iscoming from NASA.)  ORBITAL ""BILLBOARDS""   Orbital ""billboards"" have been the staple of science fiction forsome time.  Arthur C. Clarke wrote about one example, and RobertHeinlein described another in ""The Man Who Sold the Moon"".  Severaldifferent potential projects have been developed, although none havebeen implemented, but the most real prior to 1993 being the ""EiffelII"" project, which would have placed a large inflatable sculpture inorbit to celebrate the French Republic's Bi-centennial.                                                (cont)"
2083,"Also sprach slegge@kean.ucs.mun.ca ...Two things:1. Didn't the trade deadline pass two weeks ago?2. The FLYERS would never ever EVER give up Lindros, simple as that.Go Flyers, Cup in '94...Mike"
2084,"Gee, you'd think Winnipeg would be tops on that list, what with 8 regularsbeing European.Well, being a Jet fan, I sometimes wish that Bure would get knocked sillytoo.  (Nothing serious, just enough to keep him out of a game. :)In most cases, the owners have very little to do with it.  They give theirgeneral managers one order when it comes to the draft...find me the bestplayers so that our team will win the Stanley Cup.  Whether that player isin Kindersley, Saskatchewan or Chelyabinsk, Russia, if the GM believes himto be the better player, the GM should be drafting him.Where do you get off calling the NHL THEIR league, when referring to Canadianplayers.  It doesn't belong to them, it belongs to the owners.  The ownerscan do what they want.  While a 'Canadian content' rule might be enforcablehere in Canada, there is enough doubt that it would be enforcable in the USthat the CFL (sorry for the football reference) didn't even TRY to push theirimport ratio rule on the Sacromento Goldminers.Increasing the competition for the 'elite' positions, in most cases, wouldmake players better anyways.  (Oh yeah, and how many Europeans play at thelower levels of professional hockey in North America?  While there are somethat play in the AHL, or the IHL where that's an NHL team's primary farmclub, you don't hear of many Europeans playing in the CHL, the ECHL, or onthe secondary farm teams in the IHL.  (ie. the Jets do have a few Russianplayers in Moncton, but I don't believe there are any Europeans in Ft. Wayne.))So with all those teams, there are plenty of positions for hockey playersin North America.I'm in favour of the NHL being the league for the premier players in theworld.  I've grown up with Europeans playing on 'my' team, and some of thoseplayers were the among the best in the world.  From Hedberg, Nilsson, andSjoberg, to Sel{nne, Zhamnov, and Olausson, and all those in between and tocome, I wouldn't have it any other way."
2086,"It's really not that hard to do.  There are books out there which explaineverything, and the basic 3D functions, translation, rotation, shading, andhidden line removal are pretty easy.  I wrote a program in a few weeks withthe help of a book, and would be happy to give you my source.	Also, Quickdraw has a lot of 3D functions built in, and Think pascalcan access them, and I would expect that THINK C could as well.  If you canfind out how to use the Quickdraw graphics library, it would be an excellentchoice, since it has a lot of stuff, and is built into the Mac, so should befast.Libertarian, atheist, semi-anarchal Techno-Rat."
2088,"  I've got a used one for sale.  I used it in high school and just don't have the occasion to get it out and play it anymore.  Email me and we can work out something on it.  I can't get email to you for some reason.  David-- ---------------------------------------------------------------------David B. Snyder                     Logicon Technical Services Inc.dsnyder@falcon.aamrl.wpafb.af.mil   Wright-Patterson Air Force Base513-255-5165                        Dayton, Ohio USA---------------------------------------------------------------------It is said that GOD doesn't subtract from ones' time on earth, thosehours spent flying.---------------------------------------------------------------------1946 Cessna 140 N76234 ""The lady in waiting"" Owner/Operator---------------------------------------------------------------------Opinions expressed are my own and not those of Logicon or the USAF."
